Name,Location,Image
El Nido,Palawan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiLyy9wThqb6q5PkbtDPaYh-L-sSHuGzaYwHeCCZl6NDO28SMmw9PtFfR6LeFvIXm2JrIsZ5Z_vwiJDJSFWznKftqQi0DJCy7-vrzbL4yF6T34jxE74GdDiHE9X_Te7ZP8bBBahp3B9xMoEBKXxZjwU0zSu4UI42UnhEniX0bPaow65I6MAOuoNp1noOg/s1000/Big%20Lagoon-12.jpg
Chocolate Hills,Bohol,https://www.travelandleisure.com/thmb/LrRPOL02yLrcupBNPKARdCwyANU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chocolate-hills-PHIL0116-3a853dd3c6704d84bb5162bb37404279.jpg
Underground River,Puerto Princesa Palawan,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/44/7a.jpg
Boracay Island,Aklan,https://upload.wikimedia.org/wikipedia/commons/c/cd/Boracay_White_Beach.png
Taal Volcano,Batangas,https://philjets.com/wp-content/uploads/2018/07/aerial-tour-taal.jpg
Mayon Volcano,Albay,https://upload.wikimedia.org/wikipedia/commons/e/e1/Mayon_Volcano_as_of_March_2020.jpg
Vigan Heritage City,Ilocos Sur,https://miro.medium.com/v2/resize:fit:828/format:webp/1*w5RcpbSYj0YtKhx714gB8g.jpeg
Banaue Rice Terraces,Ifugao,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Banaue-terrace.JPG/1280px-Banaue-terrace.JPG
Siargao Island,Surigao del Norte,https://www.vacationhive.com/images/hives/8/8-siargao-island-banner-2022.jpg
Coron,Palawan,https://upload.wikimedia.org/wikipedia/commons/1/16/Straight_out_of_a_dream.jpg
