Name,Location,Image
Angkor Wat,Cambodia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ankor_Wat_temple.jpg/1200px-Ankor_Wat_temple.jpg
Great Barrier Reef,Australia,https://cdn.britannica.com/64/155864-050-34FBD7A2/view-Great-Barrier-Reef-Australia-coast.jpg
Machu Picchu,Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Machu_Picchu%2C_Peru.jpg/1200px-Machu_Picchu%2C_Peru.jpg
Great Wall of China,China,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/1200px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg
Taj Mahal,India,https://cdn.britannica.com/86/170586-050-AB7FEFAE/Taj-Mahal-Agra-India.jpg
Grand Canyon,USA,https://upload.wikimedia.org/wikipedia/commons/a/aa/Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg
Colosseum,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/1200px-Colosseo_2020.jpg
Iguazu Falls,Argentina and Brazil,https://www.tripsavvy.com/thmb/xJ1-kvBsuglBvNpiAhvcgiKZUuQ=/1885x1414/smart/filters:no_upscale()/iguazu-falls--iguazu-national-park--brazil-argentina-paraguay-border--1171077586-0c0af92a39e24d179bfa236d3248b2db.jpg
Alhambra,Spain,https://www.travelandleisure.com/thmb/3wf5cJtNM9ie_dAosvzk8u1ZqLQ=/1333x1000/smart/filters:no_upscale()/ALHAMBRA0117-73e53148f36748aca96a22a093af8a82.jpg
Aya Sofya (Hagia Sophia),Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/1200px-Hagia_Sophia_Mars_2013.jpg
Medina of Fez,Morroco,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/72/9b/97/caption.jpg?w=300&h=300&s=1
